team,Age,pos,name,overall,Min,CleanSheet,CrossPunch,Saves,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStoop,KeeperCtch,GoalCncd,display
York United,27,g,Nathan Ingham,0.88,2340,6,12,88,60,28,12,37,1,21,17,34,Nathan Ingham
Cavalry,24,g,Marco Carducci,0.75,2250,9,13,65,33,32,12,21,3,12,13,17,Marco Carducci
Edmonton,24,g,Connor James,0.74,1979,7,7,67,38,29,12,25,6,11,9,24,Connor James
Forge,27,g,Triston Henry,0.64,1979,9,9,55,29,26,9,21,1,10,14,17,Triston Henry
HFX Wanderers,24,g,Christian Oxner,0.56,1489,6,15,43,30,13,10,18,1,9,10,16,Christian Oxner
Pacific,25,g,Nolan Wirth,0.53,1080,1,4,59,32,27,11,18,2,14,6,24,Nolan Wirth
Pacific,29,g,Mark Village,0.52,1440,4,2,47,24,23,5,15,4,13,10,22,Mark Village
Valour,29,g,Tyson Farago,0.5,1440,2,1,47,31,16,7,15,2,13,13,30,Tyson Farago
Valour,22,g,Mathias Janssens,0.44,1080,4,3,43,29,14,11,15,4,3,0,22,Mathias Janssens
HFX Wanderers,36,g,Jan-Michael Williams,0.42,1028,2,5,40,27,13,4,17,5,8,4,19,Jan-Michael Williams
Forge,26,g,Quillan Roberts,0.26,720,4,0,27,17,10,7,4,1,6,2,9,Quillan Roberts
Cavalry,26,g,Nikolaos Giantsopoulos,0.2,450,3,0,21,10,11,3,7,0,11,1,4,Nikolaos Giantsopoulos
Edmonton,24,g,Dylon Powley,0.17,540,1,0,20,15,5,6,3,0,3,2,9,Dylon Powley
York United,28,g,Colm Vance,0.05,90,0,0,4,3,1,1,3,0,1,3,2,Colm Vance
York United,29,g,Matthew Silva,0.01,90,0,0,0,0,0,0,0,0,0,0,1,Matthew Silva
Pacific,26,sg,Tyrone Venhola,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Tyrone Venhola
Forge,20,sg,Baj Maan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Baj Maan
Edmonton,20,sg,Chris Ezoua,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Ezoua
Valour,20,sg,Svyatik Artemenko,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Svyatik Artemenko
Forge,23,sg,Luke Iacobellis,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Luke Iacobellis
Cavalry,29,sg,Jordan Santiago,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Santiago
Pacific,19,sg,Sachdev Grewal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sachdev Grewal
